"","brand","fuel","year","age"
"620","TOYOTA","PHEV",2014,1
"621","TOYOTA","PHEV",2014,1
"622","TOYOTA","PHEV",2014,1
"623","TOYOTA","PHEV",2014,1
"624","TOYOTA","PHEV",2014,1
"625","TOYOTA","PHEV",2014,1
"626","TOYOTA","PHEV",2014,1
"627","TOYOTA","PHEV",2014,1
"628","TOYOTA","PHEV",2014,1
"629","TOYOTA","PHEV",2014,1
"630","TOYOTA","PHEV",2014,1
"631","TOYOTA","PHEV",2014,1
"632","TOYOTA","PHEV",2014,1
"633","TOYOTA","PHEV",2014,1
"634","TOYOTA","PHEV",2014,1
"635","TOYOTA","PHEV",2014,1
"636","TOYOTA","PHEV",2014,1
"637","TOYOTA","PHEV",2014,1
"638","TOYOTA","PHEV",2014,1
"639","TOYOTA","PHEV",2014,1
"640","TOYOTA","PHEV",2014,1
"641","TOYOTA","PHEV",2014,1
"642","TOYOTA","PHEV",2014,1
"643","TOYOTA","PHEV",2014,1
"644","TOYOTA","PHEV",2014,1
"645","TOYOTA","PHEV",2014,1
"646","TOYOTA","PHEV",2014,1
"647","TOYOTA","PHEV",2014,2
"648","TOYOTA","PHEV",2014,1
"649","TOYOTA","PHEV",2014,1
"650","TOYOTA","PHEV",2014,1
"651","TOYOTA","PHEV",2014,1
"652","TOYOTA","PHEV",2014,1
"653","TOYOTA","PHEV",2014,1
"654","TOYOTA","PHEV",2014,1
"655","TOYOTA","PHEV",2014,1
"656","TOYOTA","PHEV",2014,1
"657","TOYOTA","PHEV",2014,1
"658","TOYOTA","PHEV",2014,1
"659","TOYOTA","PHEV",2014,1
"660","TOYOTA","PHEV",2014,1
"661","TOYOTA","PHEV",2014,1
"662","TOYOTA","PHEV",2014,1
"663","TOYOTA","PHEV",2014,1
"664","TOYOTA","PHEV",2014,1
"665","TOYOTA","PHEV",2014,1
"666","TOYOTA","PHEV",2014,1
"667","TOYOTA","PHEV",2014,1
"668","TOYOTA","PHEV",2014,1
"669","TOYOTA","PHEV",2014,1
"670","TOYOTA","PHEV",2014,1
"671","TOYOTA","PHEV",2014,1
"672","TOYOTA","PHEV",2014,1
"673","TOYOTA","PHEV",2014,1
"674","TOYOTA","PHEV",2014,1
"675","TOYOTA","PHEV",2014,1
"676","TOYOTA","PHEV",2014,1
"677","TOYOTA","PHEV",2014,1
"678","TOYOTA","PHEV",2014,1
"679","TOYOTA","PHEV",2014,1
"680","TOYOTA","PHEV",2014,1
"681","TOYOTA","PHEV",2014,1
"682","TOYOTA","PHEV",2014,1
"683","TOYOTA","PHEV",2014,1
"684","TOYOTA","PHEV",2014,1
"685","TOYOTA","PHEV",2014,1
"686","TOYOTA","PHEV",2014,1
"687","TOYOTA","PHEV",2014,1
"688","TOYOTA","PHEV",2014,1
"689","TOYOTA","PHEV",2014,1
"690","TOYOTA","PHEV",2014,1
"691","TOYOTA","PHEV",2014,1
"692","TOYOTA","PHEV",2014,1
"693","TOYOTA","PHEV",2014,1
"694","TOYOTA","PHEV",2014,1
"695","TOYOTA","PHEV",2014,1
"696","TOYOTA","PHEV",2014,1
"697","TOYOTA","PHEV",2014,1
"698","TOYOTA","PHEV",2014,1
"699","TOYOTA","PHEV",2014,1
"700","TOYOTA","PHEV",2014,1
"701","TOYOTA","PHEV",2014,1
